Number of Spheres: 399
0.710083 0.00668089 0.425246 0.0844631
0.708692 0.904726 0.788856 0.0844631
0.293722 0.292769 0.47605 0.0844631
0.33054 0.402152 0.352697 0.0844631
0.103216 0.475309 0.852193 0.0844631
0.54144 0.881093 0.790931 0.0844631
0.588392 0.889518 0.424822 0.0844631
0.54267 0.681877 0.268062 0.0844631
0.671421 0.784318 0.321985 0.0844631
0.893617 0.749839 0.954392 0.0844631
0.612948 0.108126 0.331386 0.0844631
0.40227 0.503457 0.798711 0.0844631
0.854573 0.0324028 0.101137 0.0844631
0.426354 0.122944 0.715253 0.0844631
0.973041 0.632152 0.222197 0.0844631
0.232692 0.0935994 0.176676 0.0844631
0.303504 0.575786 0.59508 0.0844631
0.365845 0.667468 0.781117 0.0844631
0.764071 0.282961 0.49907 0.0844631
0.31194 0.763128 0.995006 0.0844631
0.16544 0.598159 0.950031 0.0844631
0.988502 0.421201 0.400142 0.0844631
0.0904952 0.804367 0.790716 0.0844631
0.247648 0.450753 0.942993 0.0844631
0.269592 0.0566081 0.709864 0.0844631
0.251452 0.261402 0.171533 0.0844631
0.701449 0.298528 0.342954 0.0844631
0.613014 0.423649 0.982098 0.0844631
0.408804 0.0300075 0.575286 0.0844631
0.299217 0.816215 0.42207 0.0844631
0.576412 0.321367 0.588916 0.0844631
0.519125 0.705171 0.841281 0.0844631
0.200777 0.684171 0.384522 0.0844631
0.553896 0.522574 0.542147 0.0844631
0.128416 0.958809 0.168028 0.0844631
0.724615 0.0432676 0.69352 0.0844631
0.770004 0.00074753 0.958129 0.0844631
0.207296 0.447809 0.541212 0.0844631
0.903614 0.193834 0.109557 0.0844631
0.215384 0.415782 0.229858 0.0844631
0.666485 0.318737 0.747423 0.0844631
0.745934 0.349421 0.0668263 0.0844631
0.766981 0.0877808 0.234542 0.0844631
0.315324 0.397626 0.0947259 0.0844631
0.610816 0.534216 0.313762 0.0844631
0.687703 0.775593 0.500285 0.0844631
0.43313 0.83717 0.0998827 0.0844631
0.561228 0.135274 0.816213 0.0844631
0.213419 0.355151 0.807995 0.0844631
0.975543 0.153798 0.811644 0.0844631
0.161034 0.342383 0.0537506 0.0844631
0.725965 0.170735 0.804364 0.0844631
0.91098 0.16578 0.275974 0.0844631
0.275188 0.74229 0.244446 0.0844631
0.389144 0.64072 0.325376 0.0844631
0.554735 0.372235 0.282359 0.0844631
0.104658 0.191284 0.227677 0.0844631
0.499806 0.985717 0.302229 0.0844631
0.470468 0.486829 0.394958 0.0844631
0.587684 0.750647 0.08832 0.0844631
0.299257 0.432828 0.684974 0.0844631
0.424695 0.92756 0.441914 0.0844631
0.504459 0.272912 0.733867 0.0844631
0.807186 0.287712 0.211658 0.0844631
0.460013 0.682085 0.00151398 0.0844631
0.860599 0.886291 0.860442 0.0844631
0.53648 0.087021 0.172119 0.0844631
0.82388 0.678662 0.475869 0.0844631
0.196931 0.186369 0.876273 0.0844631
0.463229 0.765994 0.411131 0.0844631
0.987373 0.930252 0.0795568 0.0844631
0.513417 0.544658 0.919064 0.0844631
0.185582 0.164945 0.453624 0.0844631
0.0924416 0.635728 0.800369 0.0844631
0.889638 0.614201 0.0598228 0.0844631
0.941545 0.724731 0.793543 0.0844631
0.731609 0.123715 0.545145 0.0844631
0.679436 0.640664 0.177882 0.0844631
0.218729 0.671364 0.101905 0.0844631
0.334539 0.739691 0.568468 0.0844631
0.215164 0.00844407 0.0318398 0.0844631
0.669247 0.522968 0.85756 0.0844631
0.299222 0.158529 0.578448 0.0844631
0.919157 0.140163 0.485759 0.0844631
0.591358 0.657196 0.427926 0.0844631
0.268799 0.869125 0.133054 0.0844631
0.612547 0.990973 0.897731 0.0844631
0.15907 0.958743 0.791981 0.0844631
0.548442 0.844609 0.223106 0.0844631
0.888657 0.308625 0.986192 0.0844631
0.795381 0.439411 0.932689 0.0844631
0.635763 0.80385 0.674 0.0844631
0.0371748 0.202381 0.38214 0.0844631
0.386407 0.16184 0.192518 0.0844631
0.758207 0.719974 0.0512279 0.0844631
0.457535 0.0925071 0.426104 0.0844631
0.972372 0.903228 0.445768 0.0844631
0.0607607 0.730332 0.939615 0.0844631
0.981198 0.828728 0.664238 0.0844631
0.739213 0.53735 0.0583449 0.0844631
0.82734 0.158482 0.938934 0.0844631
0.879107 0.0201421 0.367227 0.0844631
0.687105 0.0110493 0.106996 0.0844631
0.0818178 0.316873 0.906747 0.0844631
0.200611 0.873239 0.931621 0.0844631
0.106137 0.24103 0.744726 0.0844631
0.435493 0.793483 0.692769 0.0844631
0.528055 0.731786 0.56564 0.0844631
0.0571424 0.0492633 0.45064 0.0844631
0.135322 0.891012 0.632386 0.0844631
0.328101 0.134057 0.0302443 0.0844631
0.869313 0.301052 0.368178 0.0844631
0.961967 0.765697 0.108057 0.0844631
0.668496 0.446111 0.181676 0.0844631
0.919568 0.756006 0.348926 0.0844631
0.991666 0.744856 0.501286 0.0844631
0.295511 0.290355 0.965744 0.0844631
0.458841 0.605759 0.654311 0.0844631
0.794554 0.61734 0.920233 0.0844631
0.0019474 0.33119 0.109448 0.0844631
0.46369 0.309833 0.463181 0.0844631
0.296394 0.904238 0.566223 0.0844631
0.890565 0.405413 0.63493 0.0844631
0.144195 0.575774 0.262804 0.0844631
0.210047 0.888592 0.29819 0.0844631
0.617947 0.229081 0.213569 0.0844631
0.495406 0.122105 0.00322827 0.0844631
0.831011 0.872402 0.0523457 0.0844631
0.279675 0.0391166 0.878759 0.0844631
0.433519 0.406039 0.973258 0.0844631
0.702773 0.535258 0.463338 0.0844631
0.842781 0.922694 0.687626 0.0844631
0.703096 0.29956 0.911215 0.0844631
0.0380851 0.639181 0.37794 0.0844631
0.379016 0.820676 0.851045 0.0844631
0.723109 0.401954 0.611759 0.0844631
0.955443 0.579247 0.512529 0.0844631
0.296401 0.037199 0.449389 0.0844631
0.881657 0.447792 0.087761 0.0844631
0.656098 0.143532 0.95574 0.0844631
0.965936 0.546205 0.690001 0.0844631
0.334146 0.0146719 0.286282 0.0844631
0.174903 0.0508213 0.329537 0.0844631
0.668068 0.875575 0.00789851 0.0844631
0.517478 0.402511 0.119801 0.0844631
0.0335784 0.895984 0.920728 0.0844631
0.353489 0.926216 0.98045 0.0844631
0.515858 0.899496 0.581788 0.0844631
0.0214488 0.483245 0.999798 0.0844631
0.836999 0.433238 0.473884 0.0844631
0.381474 0.299744 0.621214 0.0844631
0.893548 0.554202 0.357359 0.0844631
0.385287 0.00679129 0.125476 0.0844631
0.382082 0.176473 0.875897 0.0844631
0.375338 0.439285 0.526206 0.0844631
0.333229 0.595868 0.930602 0.0844631
0.533036 0.965661 0.0546621 0.0844631
0.0348509 0.392455 0.721819 0.0844631
0.613491 0.216291 0.46143 0.0844631
0.17733 0.0419469 0.56912 0.0844631
0.185888 0.506077 0.0901699 0.0844631
0.166015 0.914118 0.459266 0.0844631
0.746306 0.633286 0.332833 0.0844631
0.225214 0.724578 0.855262 0.0844631
0.820434 0.603526 0.753874 0.0844631
0.16378 0.173693 0.0414764 0.0844631
0.0995727 0.0546697 0.917656 0.0844631
0.447591 0.020769 0.876813 0.0844631
0.0623956 0.183214 0.56894 0.0844631
0.94763 0.410834 0.865314 0.0844631
0.953689 0.579147 0.878359 0.0844631
0.404145 0.327586 0.22019 0.0844631
0.800574 0.868069 0.391566 0.0844631
0.287223 0.546206 0.429562 0.0844631
0.606297 0.397675 0.441199 0.0844631
0.380349 0.33851 0.827832 0.0844631
0.202245 0.28176 0.331846 0.0844631
0.47476 0.434332 0.662686 0.0844631
0.081255 0.802026 0.365527 0.0844631
0.790427 0.768306 0.731892 0.0844631
0.952141 0.303167 0.515389 0.0844631
0.735282 0.184001 0.0993647 0.0844631
0.108137 0.733294 0.213575 0.0844631
0.0626769 0.350381 0.265908 0.0844631
0.328084 0.17067 0.350811 0.0844631
0.0373343 0.485658 0.167958 0.0844631
0.487331 0.179389 0.567878 0.0844631
0.782697 0.157339 0.387679 0.0844631
0.392496 0.856145 0.287012 0.0844631
0.78666 0.43832 0.763992 0.0844631
0.836323 0.927719 0.232454 0.0844631
0.152772 0.455916 0.381533 0.0844631
0.302341 0.558622 0.205956 0.0844631
0.426957 0.620411 0.488758 0.0844631
0.760088 0.455904 0.324774 0.0844631
0.907569 0.417477 0.251912 0.0844631
0.896312 0.687184 0.628241 0.0844631
1.03581 0.0887041 0.112468 0.0844631
0.582752 1.04545 0.529264 0.0844631
0.557502 1.01859 0.694119 0.0844631
0.84196 -0.003327 0.530338 0.0844631
1.08116 0.0792821 0.70289 0.0844631
0.0811649 1.07928 0.70289 0.0844631
1.08116 1.07928 0.70289 0.0844631
-0.005107 0.869664 0.237064 0.0844631
0.844254 1.0475 0.812703 0.0844631
1.05708 0.629902 0.0756787 0.0844631
0.0570839 0.629902 1.07568 0.0844631
1.05708 0.629902 1.07568 0.0844631
0.00559676 0.182636 -0.024645 0.0844631
1.0056 0.182636 0.975355 0.0844631
1.0056 0.182636 -0.024645 0.0844631
0.572523 0.557371 1.07705 0.0844631
0.404127 -0.0441 0.727017 0.0844631
1.06474 0.683784 0.64081 0.0844631
1.01735 0.0335981 0.271083 0.0844631
0.017351 1.0336 0.271083 0.0844631
1.01735 1.0336 0.271083 0.0844631
0.634026 0.657202 -0.044558 0.0844631
-0.063723 0.0301754 0.9533 0.0844631
0.936277 0.0301754 -0.0467 0.0844631
0.936277 1.03018 0.9533 0.0844631
-0.063723 0.0301754 -0.0467 0.0844631
-0.063723 1.03018 0.9533 0.0844631
0.936277 1.03018 -0.0467 0.0844631
-0.063723 1.03018 -0.0467 0.0844631
0.404611 0.539355 1.07289 0.0844631
0.694499 -0.07285 0.574585 0.0844631
-0.002108 0.98119 0.593439 0.0844631
0.997892 -0.01881 0.593439 0.0844631
-0.002108 -0.01881 0.593439 0.0844631
0.51469 0.833673 -0.049157 0.0844631
0.429379 0.264579 1.0655 0.0844631
-0.01531 0.958944 0.771791 0.0844631
0.98469 -0.041056 0.771791 0.0844631
-0.01531 -0.041056 0.771791 0.0844631
-0.047981 0.25238 0.676499 0.0844631
1.03957 0.440658 0.559985 0.0844631
0.663478 -0.040924 0.270011 0.0844631
0.118073 0.821444 1.06982 0.0844631
0.597588 0.270182 1.05099 0.0844631
0.710083 1.00668 0.425246 0.0844631
0.893617 0.749839 -0.045608 0.0844631
0.854573 1.0324 0.101137 0.0844631
-0.026959 0.632152 0.222197 0.0844631
0.31194 0.763128 -0.004994 0.0844631
0.16544 0.598159 -0.049969 0.0844631
-0.011498 0.421201 0.400142 0.0844631
0.247648 0.450753 -0.057007 0.0844631
0.269592 1.05661 0.709864 0.0844631
0.613014 0.423649 -0.017902 0.0844631
0.408804 1.03001 0.575286 0.0844631
0.128416 -0.041191 0.168028 0.0844631
0.724615 1.04327 0.69352 0.0844631
0.770004 0.00074753 -0.041871 0.0844631
0.770004 1.00075 0.958129 0.0844631
0.770004 1.00075 -0.041871 0.0844631
0.745934 0.349421 1.06683 0.0844631
-0.024457 0.153798 0.811644 0.0844631
0.161034 0.342383 1.05375 0.0844631
0.499806 -0.014283 0.302229 0.0844631
0.424695 -0.07244 0.441914 0.0844631
0.460013 0.682085 1.00151 0.0844631
-0.012627 0.930252 0.0795568 0.0844631
0.987373 -0.069748 0.0795568 0.0844631
0.987373 0.930252 1.07956 0.0844631
-0.012627 -0.069748 0.0795568 0.0844631
-0.012627 0.930252 1.07956 0.0844631
0.987373 -0.069748 1.07956 0.0844631
-0.012627 -0.069748 1.07956 0.0844631
0.513417 0.544658 -0.080936 0.0844631
0.889638 0.614201 1.05982 0.0844631
-0.058455 0.724731 0.793543 0.0844631
0.215164 1.00844 0.0318398 0.0844631
0.215164 0.00844407 1.03184 0.0844631
0.215164 1.00844 1.03184 0.0844631
-0.080843 0.140163 0.485759 0.0844631
0.612547 -0.009027 0.897731 0.0844631
0.15907 -0.041257 0.791981 0.0844631
0.888657 0.308625 -0.013808 0.0844631
0.795381 0.439411 -0.067311 0.0844631
1.03717 0.202381 0.38214 0.0844631
0.758207 0.719974 1.05123 0.0844631
-0.027628 0.903228 0.445768 0.0844631
0.0607607 0.730332 -0.060385 0.0844631
1.06076 0.730332 0.939615 0.0844631
1.06076 0.730332 -0.060385 0.0844631
-0.018802 0.828728 0.664238 0.0844631
0.739213 0.53735 1.05834 0.0844631
0.82734 0.158482 -0.061066 0.0844631
0.879107 1.02014 0.367227 0.0844631
0.687105 1.01105 0.106996 0.0844631
1.08182 0.316873 0.906747 0.0844631
0.200611 0.873239 -0.068379 0.0844631
1.05714 0.0492633 0.45064 0.0844631
0.0571424 1.04926 0.45064 0.0844631
1.05714 1.04926 0.45064 0.0844631
0.328101 0.134057 1.03024 0.0844631
-0.038033 0.765697 0.108057 0.0844631
-0.080432 0.756006 0.348926 0.0844631
-0.008334 0.744856 0.501286 0.0844631
0.295511 0.290355 -0.034256 0.0844631
0.794554 0.61734 -0.079767 0.0844631
1.00195 0.33119 0.109448 0.0844631
0.495406 0.122105 1.00323 0.0844631
0.831011 0.872402 1.05235 0.0844631
0.279675 1.03912 0.878759 0.0844631
0.433519 0.406039 -0.026742 0.0844631
0.842781 -0.077306 0.687626 0.0844631
1.03809 0.639181 0.37794 0.0844631
-0.044557 0.579247 0.512529 0.0844631
0.296401 1.0372 0.449389 0.0844631
0.656098 0.143532 -0.04426 0.0844631
-0.034064 0.546205 0.690001 0.0844631
0.334146 1.01467 0.286282 0.0844631
0.174903 1.05082 0.329537 0.0844631
0.668068 0.875575 1.0079 0.0844631
0.0335784 0.895984 -0.079272 0.0844631
1.03358 0.895984 0.920728 0.0844631
1.03358 0.895984 -0.079272 0.0844631
0.353489 -0.073784 0.98045 0.0844631
0.353489 0.926216 -0.01955 0.0844631
0.353489 -0.073784 -0.01955 0.0844631
0.0214488 0.483245 -0.000202 0.0844631
1.02145 0.483245 0.999798 0.0844631
1.02145 0.483245 -0.000202 0.0844631
0.385287 1.00679 0.125476 0.0844631
0.333229 0.595868 -0.069398 0.0844631
0.533036 -0.034339 0.0546621 0.0844631
0.533036 0.965661 1.05466 0.0844631
0.533036 -0.034339 1.05466 0.0844631
1.03485 0.392455 0.721819 0.0844631
0.17733 1.04195 0.56912 0.0844631
0.16378 0.173693 1.04148 0.0844631
0.0995727 0.0546697 -0.082344 0.0844631
0.0995727 1.05467 0.917656 0.0844631
0.0995727 1.05467 -0.082344 0.0844631
0.447591 1.02077 0.876813 0.0844631
1.0624 0.183214 0.56894 0.0844631
-0.05237 0.410834 0.865314 0.0844631
-0.046311 0.579147 0.878359 0.0844631
1.08126 0.802026 0.365527 0.0844631
-0.047859 0.303167 0.515389 0.0844631
1.06268 0.350381 0.265908 0.0844631
1.03733 0.485658 0.167958 0.0844631
0.836323 -0.072281 0.232454 0.0844631
